NO.,Voltage(NL3),Time(NL3)
1,6.00E-01,-1.4150E-05
2,8.00E-01,-1.4100E-05
3,1.00E+00,-1.4050E-05
4,1.00E+00,-1.4000E-05
5,1.20E+00,-1.3950E-05
6,1.20E+00,-1.3900E-05
7,1.20E+00,-1.3850E-05
8,1.40E+00,-1.3800E-05
9,1.60E+00,-1.3750E-05
10,1.60E+00,-1.3700E-05
11,1.80E+00,-1.3650E-05
12,1.80E+00,-1.3600E-05
13,2.00E+00,-1.3550E-05
14,2.00E+00,-1.3500E-05
15,2.20E+00,-1.3450E-05
16,2.20E+00,-1.3400E-05
17,2.40E+00,-1.3350E-05
18,2.20E+00,-1.3300E-05
19,2.40E+00,-1.3250E-05
20,2.60E+00,-1.3200E-05
21,2.60E+00,-1.3150E-05
22,2.60E+00,-1.3100E-05
23,2.80E+00,-1.3050E-05
24,2.80E+00,-1.3000E-05
25,3.00E+00,-1.2950E-05
26,3.00E+00,-1.2900E-05
27,3.20E+00,-1.2850E-05
28,3.20E+00,-1.2800E-05
29,3.20E+00,-1.2750E-05
30,3.40E+00,-1.2700E-05
31,3.40E+00,-1.2650E-05
32,3.40E+00,-1.2600E-05
33,3.40E+00,-1.2550E-05
34,3.60E+00,-1.2500E-05
35,3.60E+00,-1.2450E-05
36,3.60E+00,-1.2400E-05
37,3.60E+00,-1.2350E-05
38,3.80E+00,-1.2300E-05
39,3.80E+00,-1.2250E-05
40,3.80E+00,-1.2200E-05
41,3.80E+00,-1.2150E-05
42,4.00E+00,-1.2100E-05
43,4.00E+00,-1.2050E-05
44,4.00E+00,-1.2000E-05
45,4.00E+00,-1.1950E-05
46,4.00E+00,-1.1900E-05
47,4.00E+00,-1.1850E-05
48,4.20E+00,-1.1800E-05
49,4.00E+00,-1.1750E-05
50,4.20E+00,-1.1700E-05
51,4.20E+00,-1.1650E-05
52,4.20E+00,-1.1600E-05
53,4.20E+00,-1.1550E-05
54,4.20E+00,-1.1500E-05
55,4.20E+00,-1.1450E-05
56,4.20E+00,-1.1400E-05
57,4.20E+00,-1.1350E-05
58,4.20E+00,-1.1300E-05
59,4.20E+00,-1.1250E-05
60,4.20E+00,-1.1200E-05
61,4.20E+00,-1.1150E-05
62,4.00E+00,-1.1100E-05
63,4.20E+00,-1.1050E-05
64,4.00E+00,-1.1000E-05
65,4.00E+00,-1.0950E-05
66,4.00E+00,-1.0900E-05
67,4.00E+00,-1.0850E-05
68,4.00E+00,-1.0800E-05
69,4.00E+00,-1.0750E-05
70,3.80E+00,-1.0700E-05
71,3.80E+00,-1.0650E-05
72,3.80E+00,-1.0600E-05
73,3.80E+00,-1.0550E-05
74,3.80E+00,-1.0500E-05
75,3.60E+00,-1.0450E-05
76,3.60E+00,-1.0400E-05
77,3.60E+00,-1.0350E-05
78,3.60E+00,-1.0300E-05
79,3.60E+00,-1.0250E-05
80,3.40E+00,-1.0200E-05
81,3.40E+00,-1.0150E-05
82,3.20E+00,-1.0100E-05
83,3.20E+00,-1.0050E-05
84,3.20E+00,-1.0000E-05
85,3.00E+00,-9.9500E-06
86,3.00E+00,-9.9000E-06
87,3.00E+00,-9.8500E-06
88,2.80E+00,-9.8000E-06
89,2.80E+00,-9.7500E-06
90,2.80E+00,-9.7000E-06
91,2.60E+00,-9.6500E-06
92,2.60E+00,-9.6000E-06
93,2.60E+00,-9.5500E-06
94,2.40E+00,-9.5000E-06
95,2.40E+00,-9.4500E-06
96,2.20E+00,-9.4000E-06
97,2.00E+00,-9.3500E-06
98,2.00E+00,-9.3000E-06
99,1.80E+00,-9.2500E-06
100,1.80E+00,-9.2000E-06
101,1.80E+00,-9.1500E-06
